Epoch 1/10 | Train Loss: 2.3026, Train Acc: 0.1101 | Val Loss: 2.3026, Val Acc: 0.1072
Epoch 2/10 | Train Loss: 2.3026, Train Acc: 0.1120 | Val Loss: 2.3026, Val Acc: 0.1027
Epoch 3/10 | Train Loss: 2.3026, Train Acc: 0.1088 | Val Loss: 2.3026, Val Acc: 0.0997
Epoch 4/10 | Train Loss: 2.3026, Train Acc: 0.1053 | Val Loss: 2.3026, Val Acc: 0.0963
Epoch 5/10 | Train Loss: 2.3026, Train Acc: 0.1030 | Val Loss: 2.3026, Val Acc: 0.0948
Epoch 6/10 | Train Loss: 2.3026, Train Acc: 0.1016 | Val Loss: 2.3026, Val Acc: 0.0940
Epoch 7/10 | Train Loss: 2.3026, Train Acc: 0.1011 | Val Loss: 2.3026, Val Acc: 0.0935
Epoch 8/10 | Train Loss: 2.3026, Train Acc: 0.1011 | Val Loss: 2.3026, Val Acc: 0.0933
Epoch 9/10 | Train Loss: 2.3026, Train Acc: 0.1009 | Val Loss: 2.3026, Val Acc: 0.0933
Epoch 10/10 | Train Loss: 2.3026, Train Acc: 0.1008 | Val Loss: 2.3026, Val Acc: 0.0933
Epoch 1/10 | Train Loss: 2.3026, Train Acc: 0.1053 | Val Loss: 2.3026, Val Acc: 0.1015
Epoch 2/10 | Train Loss: 2.3026, Train Acc: 0.1065 | Val Loss: 2.3026, Val Acc: 0.0957
Epoch 3/10 | Train Loss: 2.3026, Train Acc: 0.1034 | Val Loss: 2.3026, Val Acc: 0.0945
Epoch 4/10 | Train Loss: 2.3026, Train Acc: 0.1018 | Val Loss: 2.3026, Val Acc: 0.0938
Epoch 5/10 | Train Loss: 2.3026, Train Acc: 0.1010 | Val Loss: 2.3026, Val Acc: 0.0935
Epoch 6/10 | Train Loss: 2.3026, Train Acc: 0.1008 | Val Loss: 2.3026, Val Acc: 0.0933
Epoch 7/10 | Train Loss: 2.3026, Train Acc: 0.1008 | Val Loss: 2.3026, Val Acc: 0.0933
Epoch 8/10 | Train Loss: 2.3026, Train Acc: 0.1007 | Val Loss: 2.3026, Val Acc: 0.0933
Epoch 9/10 | Train Loss: 2.3026, Train Acc: 0.1007 | Val Loss: 2.3026, Val Acc: 0.0933
Epoch 10/10 | Train Loss: 2.3026, Train Acc: 0.1007 | Val Loss: 2.3026, Val Acc: 0.0933
Epoch 1/10 | Train Loss: 2.3026, Train Acc: 0.1029 | Val Loss: 2.3026, Val Acc: 0.1013
Epoch 2/10 | Train Loss: 2.3026, Train Acc: 0.1004 | Val Loss: 2.3026, Val Acc: 0.1013
Epoch 3/10 | Train Loss: 2.3026, Train Acc: 0.0999 | Val Loss: 2.3026, Val Acc: 0.1015
Epoch 4/10 | Train Loss: 2.3026, Train Acc: 0.1001 | Val Loss: 2.3026, Val Acc: 0.1033
Epoch 5/10 | Train Loss: 2.3026, Train Acc: 0.1007 | Val Loss: 2.3026, Val Acc: 0.1033
Epoch 6/10 | Train Loss: 2.3026, Train Acc: 0.1014 | Val Loss: 2.3026, Val Acc: 0.1053
Epoch 7/10 | Train Loss: 2.3026, Train Acc: 0.1024 | Val Loss: 2.3026, Val Acc: 0.1043
Epoch 8/10 | Train Loss: 2.3026, Train Acc: 0.1033 | Val Loss: 2.3026, Val Acc: 0.1050
Epoch 9/10 | Train Loss: 2.3026, Train Acc: 0.1051 | Val Loss: 2.3026, Val Acc: 0.1063
Epoch 10/10 | Train Loss: 2.3026, Train Acc: 0.1072 | Val Loss: 2.3026, Val Acc: 0.1098
